Theme,Total_Unique_Clauses,Positive,Neutral,Negative,Positive_Rate,Neutral_Rate,Negative_Rate
Delivery,28,10,2,16,35.714285714285715,7.142857142857142,57.14285714285714
Customer Support,46,19,8,19,41.30434782608695,17.391304347826086,41.30434782608695
App,27,11,1,15,40.74074074074074,3.7037037037037033,55.55555555555556
Checkout / Ordering,60,27,1,32,45.0,1.6666666666666667,53.333333333333336
Billing / Payment,29,9,8,12,31.03448275862069,27.586206896551722,41.37931034482759
Coupon / Promotion,4,0,0,4,0.0,0.0,100.0
